Date,Region,Product_Category,Sales,Profit,Units_Sold,Customer_Segment,Growth_%
2023-07-01 03:22:12.688642,East,Food,6515.49,1792.0452357558472,39,Retail,17.62
2025-03-23 03:22:12.688642,West,Books,877.33,60.30592468263042,87,Retail,10.33
2024-07-26 03:22:12.688642,West,Books,3515.03,986.2386660669995,18,Home Office,-2.73
2024-03-02 03:22:12.688642,South,Food,9411.73,535.9587647441668,42,Retail,16.81
2022-11-03 03:22:12.688642,North,Food,403.29,76.89432409994556,96,Corporate,-5.91
2022-11-03 03:22:12.688642,West,Clothing,7542.24,1423.7695931241292,73,Retail,10.65
2022-07-19 03:22:12.688642,South,Clothing,8429.61,1768.2545540069545,75,Retail,2.75
2024-12-20 03:22:12.688642,East,Clothing,2842.9,163.20113279746747,65,Home Office,-1.95
2024-03-05 03:22:12.688642,East,Clothing,2225.67,406.4734987009691,75,Retail,-2.13
2024-06-30 03:22:12.688642,East,Electronics,9156.73,717.919771532964,33,Home Office,5.02
2022-06-08 03:22:12.688642,East,Electronics,7663.62,682.022150872842,30,Retail,17.94
2025-04-13 03:22:12.688642,South,Books,1222.47,126.93971805086869,5,Home Office,12.27
2024-11-13 03:22:12.688642,North,Electronics,2200.75,447.39985949975596,50,Retail,9.86
2023-01-04 03:22:12.688642,South,Electronics,6251.42,922.2230053620196,65,Corporate,16.27
2022-12-02 03:22:12.688642,North,Clothing,4252.23,303.3300855889289,10,Retail,7.11
2022-12-03 03:22:12.688642,East,Clothing,5091.33,622.4319678866381,60,Home Office,-4.24
2023-04-15 03:22:12.688642,West,Food,9520.27,658.3774313703185,77,Home Office,19.32
2023-12-12 03:22:12.688642,West,Clothing,4260.33,920.3670552646032,27,Corporate,6.04
2023-09-01 03:22:12.688642,West,Food,8828.65,1671.848853382827,72,Corporate,-0.54
2023-03-31 03:22:12.688642,North,Food,6641.37,1008.967168954461,28,Home Office,13.35
2024-03-16 03:22:12.688642,East,Electronics,1304.03,367.63109075618627,45,Corporate,3.92
2022-10-16 03:22:12.688642,South,Clothing,7470.62,1342.3305055863598,52,Retail,-9.63
2023-04-01 03:22:12.688642,West,Electronics,5250.07,1427.409455960662,66,Retail,-0.4
2023-06-22 03:22:12.688642,North,Clothing,2328.46,453.51709191957985,62,Corporate,3.72
2023-09-28 03:22:12.688642,West,Electronics,2966.54,427.7697972433634,76,Retail,1.18
2024-09-22 03:22:12.688642,South,Electronics,5617.59,1037.8453641577696,91,Retail,6.55
2022-12-21 03:22:12.688642,East,Electronics,6056.85,532.7944608928192,77,Corporate,-4.5
2023-12-01 03:22:12.688642,South,Books,9684.95,2117.9857900004054,60,Home Office,7.17
2024-02-24 03:22:12.688642,East,Electronics,8561.73,2530.276277900132,86,Retail,19.6
2022-07-06 03:22:12.688642,East,Furniture,2137.81,239.13441925017204,40,Corporate,12.61
2024-03-12 03:22:12.688642,East,Furniture,7762.52,1015.3330513114743,15,Home Office,10.54
2022-11-19 03:22:12.688642,West,Furniture,182.09,27.590800382336354,95,Retail,-3.98
2022-07-27 03:22:12.688642,South,Food,1385.1,236.67293469423947,7,Retail,7.45
2025-03-21 03:22:12.688642,West,Electronics,2077.03,477.25112812824966,39,Corporate,14.59
